0.01	0	0.03	0
0.013	0.05	0	0.01
0.016	0.05	-0.03	-0.01
0.02	0.08	-0.01	0.01
0.025	0.11	0.01	-0.04
0.032	0.12	-0.01	0
0.04	0.12	0.02	-0.03
0.05	0.2	0.02	0.06
0.063	0.2	0.07	0.01
0.079	0.26	0.09	0.05
0.1	0.27	0.11	0.04
0.126	0.37	0.11	0.02
0.158	0.33	0.14	0.11
0.2	0.41	0.15	0.1
0.251	0.48	0.22	0.11
0.316	0.49	0.21	0.14
0.398	0.58	0.28	0.14
0.501	0.62	0.36	0.2
0.631	0.6	0.41	0.21
0.794	0.71	0.42	0.33
1	0.69	0.42	0.29
1.259	0.75	0.52	0.37
1.585	0.77	0.54	0.33
1.995	0.84	0.57	0.44
2.512	0.86	0.62	0.44
3.162	0.91	0.67	0.52
3.981	0.96	0.69	0.56
5.012	1.01	0.77	0.62
6.31	1.06	0.79	0.66
7.943	1.12	0.84	0.68
10	1.15	0.85	0.73
